type,value
1,32LV340H
1,IFP6560
1,KAPP-IQ55
1,KAPP-IQ65
1,IFPCP365I
1,QM85N
1,C751Q-AVT2
1,IFCP654I0
1,QB75H-TR
1,TH-75EQ1W
1,IFP7550
1,IFP7550-E1
1,SBID-MX275
1,SPNL-6265P
1,SPNL-6265-V2
1,PN-L703WA
1,SPNL-6065P
1,SPNL-6065-V2
1,BE82N
1,IFP7560
1,INF7510AG
1,TH-86EQ1W
1,HG40NF690GFXZA
1,HG40NJ470M
1,HG40NJ477MFXZA
1,HG40NJ478MF
1,X841UHD-AVT2
1,HG43NJ470MF
1,SBID-7275P
1,SBID-7275P-W
1,43UU670H
1,43UU340C
1,SBID8075I-G5-SM
1,SPNL-6075P
1,SPNL-6275
1,KAPP-IQ75
1,TH-43EQ1U
1,43UV560H
1,PH43F-P
1,HG49NE470HFXZA
1,HG49NE478HF
1,HG49NJ470M
1,HG43NF690U
1,49UV570H
1,49UU340C
1,49SM5KE-B
1,43SM5KE-B
1,49UU770H
1,CDE5010
1,SL5064K
1,PH49F-P
1,HG49NJ478M
1,HG50NJ670UFXZA
1,HG50NJ690U
1,55UU340C
1,49SE3KE-B
1,E557Q
1,TH-42SF1HU
1,PM43F-BC
1,HG50NF690UFXZA
1,TH-55EQ1U
1,55EU960H
1,PH55FP
1,55UU670H
1,49UU670H
1,49VM5C-A
1,55SE3KE-B
1,55SM5KE-B
1,P484-AVT2
1,55UU770H
1,65UU670H
1,65UU340C
1,PN-B501
1,QB65H-N
1,55LV77D-B
1,TH-65EQ1U
1,P554-PC3
1,PM55F-BC
1,DS491LT4
1,PN-L501C
1,WM55H
1,CDE6510
1,SBD-2075
1,FWD65Z9D
1,70UL3ET
1,HG32NJ470NF
1,INF5533E
1,QB75H-N
1,8M-B70AU
1,EP4320-2
1,32SM5KE-B
1,49XEB3E-B
1,RM7501K
1,8065i-G5-SMP-V2
1,INF7533E
1,EP5520T
1,EP5540
1,HG43NJ477MFXZA
1,HG49NJ477M
1,FX-79E1
1,60UL3E-B
1,HG32NJ477NFXZA
1,HG32NJ478N
1,OLED55C7P
