CUSTOMER_NO,NAME,SALES_PRICE_GROUP_ID,PRICE_LIST_NO,PRICE_LIST_GROUP_NAME,CATALOG_NO,Catalog Description,MIN_QUANTITY,VALID_FROM_DATE,BASE_PRICE,SALES_PRICE,DESCRIPTION_DOC_TEXT,SHIPPING_DIMENSIONS,PRODUCT_COLOR,PACKAGING,SHIP_WEIGHT,U_P_C_CODE,UPCM,MPQTY,PROD_DIM_I,PROD_DIM_M,PRICE_SHEET_DATE,SALES_UNIT_MEAS,CATALOG_DESC,MODEL_NAME,ITEM_DESCRIPTION_OTHER,SERIALIZED,NOT_FOR_SALE,ITEM_STATUS,MANUFACTURER_CATEGORY_CODE,ITEM_PART_NUMBER_REPLACEMENT,ITEM_MODEL_NUMBER_REPLACEMENT,REQUIRED_ACCESSORIES,OPTIONAL_ACCESSORIES,MAP_PRICE,G_S_A_ITEM_COST,G_S_A_ITEM_SELL_PRICE,DISCOUNT_OFF_LIST,FREIGHT_POLICY,FREIGHT_CODE,FREIGHT_CLASS,DROP_SHIP,CERTIFICATE_FOR_ORIGIN,MANUFACTURER_WEBSITE_LINK,MANUFACTURER_DIVISION_NAME,ITEM_INFOCOMM_I_Q_CATEGORY,INFOCOMM_MEMBER_NUMBER,NOTES
100149,BLUE STAR DISTRIBUTORS CORP,ACORE,ACOREDIST,Mounts,EPA762PU,"Outdoor Wall Mount for 42-75"" TV's",1,17-Jul-19,419.99,250,"Outdoor Wall Mount for 42-75"" TV's","12.00 x 4.25 x 33.00"" (305 x 108 x 838mm)",BLACK,Retail,29.3,7.35029E+11,1.0735E+13,1,30.75 x 16.89 x 4.50-22.72,781 x 429 x 114-577,   ,EA,"Outdoor Wall Mount for 42-75"" TV's",   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
100149,BLUE STAR DISTRIBUTORS CORP,ACORE,ACOREDIST,Mounts,EPT650,"Outdoor Universal Tilt Wall Mount For 32"" to 75"" TV's ",1,17-Jul-19,283,130.21,"Outdoor Universal Tilt Wall Mount For 32"" to 75"" TV's ","10.12 x 3.50 x 32.00"" (257 x 89 x 813mm)",BLACK,Retail,10.5,7.35029E+11,1.0735E+13,3,30.75 X 16.89 X 2.58,781 X 429 X 66,   ,EA,"Outdoor Universal Tilt Wall Mount For 32"" to 75"" TV's ",   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
100149,BLUE STAR DISTRIBUTORS CORP,ACORE,ACOREDIST,Mounts,ESA763PU,"Outdoor Universal Articulating Wall Mount For 42"" to 80"" TV's",1,17-Jul-19,579,343.75,"Outdoor Universal Articulating Wall Mount For 37"" to 63"" TV's","21.25 x 5.63 x 35.75"" (540 x 143 x 908mm)",BLACK,Retail,42.65,7.35029E+11,1.0735E+13,1,28.68 X 20.23 X 4.43 - 27.55,728 X 514 X 113 - 700,   ,EA,"Outdoor Universal Articulating Wall Mount For 42"" to 80"" TV's",   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
100149,BLUE STAR DISTRIBUTORS CORP,ACORE,ACOREDIST,Mounts,PLCM-UNL-CP,"SmartMount? Ceiling Mount For 32"" to 90"" TV's",1,17-Jul-19,379,189.71,"SmartMount? Ceiling Mount For 32"" to 90"" TV's","8.75 x 4.00 x 47.00"" (222 x 102 x 1,194mm)",BLACK,Plain,31.7,7.35029E+11,1.0735E+13,0,24.38 x 44.23 x 4.03,619 x 1123 x 103,   ,EA,"SmartMount? Ceiling Mount For 32"" to 90"" TV's",   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
100149,BLUE STAR DISTRIBUTORS CORP,ACORE,ACOREDIST,Mounts,PRG-UNV,Precision Gear Projector Mount with Spider? Universal Adapter Plate,1,17-Jul-19,199,101,Precision Gear Projector Mount with Spider? Universal Adapter Plate,"6.63 x 3.00 x 14.25"" (168 x 76 x 362mm)",BLACK,Retail,3.78,7.35029E+11,1.0735E+13,8,8.5 - 17.63 X 3.81 - 4.81 X 8.5 - 17.63,216 - 448 X 97 - 122 X 216 - 448,   ,EA,Precision Gear Projector Mount with Spider? Universal Adapter Plate,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
100149,BLUE STAR DISTRIBUTORS CORP,ACORE,ACOREDIST,Mounts,PRG-UNV-W,Precision Gear Projector Mount with Spider? Universal Adapter Plate ,1,17-Jul-19,199,101,Precision Gear Projector Mount with Spider? Universal Adapter Plate ,"6.63 x 3.00 x 14.25"" (168 x 76 x 362mm)",WHITE,Retail,3.78,7.35029E+11,1.0735E+13,8,8.5 - 17.63 X 3.81 - 4.81 X 8.5 - 17.63,216 - 448 X 97 - 122 X 216 - 448,   ,EA,Precision Gear Projector Mount with Spider? Universal Adapter Plate ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
100149,BLUE STAR DISTRIBUTORS CORP,ACORE,ACOREDIST,Mounts,PRGS-UNV,Precision Gear Projector Mount For projectors up to 50lb (22kg),1,17-Jul-19,179,76,Precision Gear Projector Mount For projectors up to 50lb (22kg),"7.50 x 3.00 x 14.25"" (191 x 76 x 362mm)",BLACK,Plain,4.95,7.35029E+11,1.0735E+13,8,4.79-17.63 X 3.63 - 4.63 X 4.79-17.63,122 - 448 X 92 - 118 X 122 - 448,   ,EA,Precision Gear Projector Mount For projectors up to 50lb (22kg),   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
100149,BLUE STAR DISTRIBUTORS CORP,ACORE,ACOREDIST,Mounts,PRGS-UNV-S,Precision Gear Projector Mount For projectors up to 50lb (22kg)  ,1,17-Jul-19,179,76,Precision Gear Projector Mount For projectors up to 50lb (22kg)  ,"7.50 x 3.00 x 14.25"" (191 x 76 x 362mm)",SILVER,Plain,4.95,7.35029E+11,1.0735E+13,0,4.79-17.63 X 3.63 - 4.63 X 4.79-17.63,122 - 448 X 92 - 118 X 122 - 448,   ,EA,Precision Gear Projector Mount For projectors up to 50lb (22kg)  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
100149,BLUE STAR DISTRIBUTORS CORP,ACORE,ACOREDIST,Mounts,PRGS-UNV-W,Precision Gear Projector Mount For projectors up to 50lb (22kg)  ,1,17-Jul-19,179,76,Precision Gear Projector Mount For projectors up to 50lb (22kg)  ,"7.50 x 3.00 x 14.25"" (191 x 76 x 362mm)",WHITE,Plain,4.95,7.35029E+11,1.0735E+13,0,4.79-17.63 X 3.63 - 4.63 X 4.79-17.63,122 - 448 X 92 - 118 X 122 - 448,   ,EA,Precision Gear Projector Mount For projectors up to 50lb (22kg)  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
100149,BLUE STAR DISTRIBUTORS CORP,ACORE,ACOREDIST,Mounts,SA730P,"SmartMount? Articulating Wall Mount For 10"" to 29"" TV's",1,17-Jul-19,129,56.25,"SmartMount? Articulating Wall Mount For 10"" to 29"" TV's","10.38 x 3.75 x 14.13"" (264 x 95 x 359mm)",BLACK,Retail,4.75,7.35029E+11,1.0735E+13,5,9.60 x 8.06 x 2.19 - 16.06,244 x 205 x 56 - 408,   ,EA,"SmartMount? Articulating Wall Mount For 10"" to 29"" TV's",   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
